Datum;Abfluss [m³/s];day;month;year;Hydro_Jahr;Jahreszeit;Monat;NQ;MNQ;MQ;MHQ;HQ
1951-01-11 00:00:00;2,949;11;1;1951;1950;Winter;1;0,62;1,34;2,7;9,21;12,71
1951-01-12 00:00:00;3,164;12;1;1951;1950;Winter;1;0,62;1,34;2,7;9,21;12,71
1951-01-13 00:00:00;2,574;13;1;1951;1950;Winter;1;0,62;1,34;2,7;9,21;12,71
1951-01-14 00:00:00;2,193;14;1;1951;1950;Winter;1;0,62;1,34;2,7;9,21;12,71
1951-01-15 00:00:00;3,124;15;1;1951;1950;Winter;1;0,62;1,34;2,7;9,21;12,71
1951-01-16 00:00:00;3,036;16;1;1951;1950;Winter;1;0,62;1,34;2,7;9,21;12,71
1951-01-17 00:00:00;3,871;17;1;1951;1950;Winter;1;0,62;1,34;2,7;9,21;12,71
1951-01-18 00:00:00;4,744;18;1;1951;1950;Winter;1;0,62;1,34;2,7;9,21;12,71
1951-01-19 00:00:00;4,542;19;1;1951;1950;Winter;1;0,62;1,34;2,7;9,21;12,71
1951-01-20 00:00:00;4,575;20;1;1951;1950;Winter;1;0,62;1,34;2,7;9,21;12,71
1951-01-21 00:00:00;4,487;21;1;1951;1950;Winter;1;0,62;1,34;2,7;9,21;12,71
1951-01-22 00:00:00;3,886;22;1;1951;1950;Winter;1;0,62;1,34;2,7;9,21;12,71
1951-01-23 00:00:00;3,805;23;1;1951;1950;Winter;1;0,62;1,34;2,7;9,21;12,71
1951-01-24 00:00:00;3,513;24;1;1951;1950;Winter;1;0,62;1,34;2,7;9,21;12,71
1951-01-25 00:00:00;3,339;25;1;1951;1950;Winter;1;0,62;1,34;2,7;9,21;12,71
1951-01-26 00:00:00;3,091;26;1;1951;1950;Winter;1;0,62;1,34;2,7;9,21;12,71
1951-01-27 00:00:00;2,89;27;1;1951;1950;Winter;1;0,62;1,34;2,7;9,21;12,71
1951-01-28 00:00:00;2,584;28;1;1951;1950;Winter;1;0,62;1,34;2,7;9,21;12,71
1951-01-29 00:00:00;2,642;29;1;1951;1950;Winter;1;0,62;1,34;2,7;9,21;12,71
1951-01-30 00:00:00;2,689;30;1;1951;1950;Winter;1;0,62;1,34;2,7;9,21;12,71
1951-01-31 00:00:00;2,669;31;1;1951;1950;Winter;1;0,62;1,34;2,7;9,21;12,71
1951-02-01 00:00:00;2,591;1;2;1951;1950;Winter;2;0,62;1,34;2,7;9,21;12,71
1951-02-02 00:00:00;2,527;2;2;1951;1950;Winter;2;0,62;1,34;2,7;9,21;12,71
1951-02-03 00:00:00;2,522;3;2;1951;1950;Winter;2;0,62;1,34;2,7;9,21;12,71
1951-02-04 00:00:00;2,38;4;2;1951;1950;Winter;2;0,62;1,34;2,7;9,21;12,71
1951-02-05 00:00:00;2,232;5;2;1951;1950;Winter;2;0,62;1,34;2,7;9,21;12,71
1951-02-06 00:00:00;2,309;6;2;1951;1950;Winter;2;0,62;1,34;2,7;9,21;12,71
1951-02-07 00:00:00;2,369;7;2;1951;1950;Winter;2;0,62;1,34;2,7;9,21;12,71
1951-02-08 00:00:00;2,44;8;2;1951;1950;Winter;2;0,62;1,34;2,7;9,21;12,71
1951-02-09 00:00:00;2,445;9;2;1951;1950;Winter;2;0,62;1,34;2,7;9,21;12,71
1951-02-10 00:00:00;2,585;10;2;1951;1950;Winter;2;0,62;1,34;2,7;9,21;12,71
1951-02-11 00:00:00;2,31;11;2;1951;1950;Winter;2;0,62;1,34;2,7;9,21;12,71
1951-02-12 00:00:00;2,422;12;2;1951;1950;Winter;2;0,62;1,34;2,7;9,21;12,71
1951-02-13 00:00:00;2,511;13;2;1951;1950;Winter;2;0,62;1,34;2,7;9,21;12,71
1951-02-14 00:00:00;2,411;14;2;1951;1950;Winter;2;0,62;1,34;2,7;9,21;12,71
1951-02-15 00:00:00;2,357;15;2;1951;1950;Winter;2;0,62;1,34;2,7;9,21;12,71
1951-02-16 00:00:00;2,416;16;2;1951;1950;Winter;2;0,62;1,34;2,7;9,21;12,71
1951-02-17 00:00:00;2,434;17;2;1951;1950;Winter;2;0,62;1,34;2,7;9,21;12,71
1951-02-18 00:00:00;2,784;18;2;1951;1950;Winter;2;0,62;1,34;2,7;9,21;12,71
1951-02-19 00:00:00;2,633;19;2;1951;1950;Winter;2;0,62;1,34;2,7;9,21;12,71
1951-02-20 00:00:00;2,749;20;2;1951;1950;Winter;2;0,62;1,34;2,7;9,21;12,71
1951-02-21 00:00:00;3,161;21;2;1951;1950;Winter;2;0,62;1,34;2,7;9,21;12,71
1951-02-22 00:00:00;2,771;22;2;1951;1950;Winter;2;0,62;1,34;2,7;9,21;12,71
1951-02-23 00:00:00;2,854;23;2;1951;1950;Winter;2;0,62;1,34;2,7;9,21;12,71
1951-02-24 00:00:00;2,666;24;2;1951;1950;Winter;2;0,62;1,34;2,7;9,21;12,71
1951-02-25 00:00:00;2,301;25;2;1951;1950;Winter;2;0,62;1,34;2,7;9,21;12,71
1951-02-26 00:00:00;2,365;26;2;1951;1950;Winter;2;0,62;1,34;2,7;9,21;12,71
1951-02-27 00:00:00;2,368;27;2;1951;1950;Winter;2;0,62;1,34;2,7;9,21;12,71
1951-02-28 00:00:00;2,323;28;2;1951;1950;Winter;2;0,62;1,34;2,7;9,21;12,71
1951-03-01 00:00:00;2,309;1;3;1951;1950;Fruehling;3;0,62;1,34;2,7;9,21;12,71
1951-03-02 00:00:00;2,463;2;3;1951;1950;Fruehling;3;0,62;1,34;2,7;9,21;12,71
1951-03-03 00:00:00;2,226;3;3;1951;1950;Fruehling;3;0,62;1,34;2,7;9,21;12,71
1951-03-04 00:00:00;1,953;4;3;1951;1950;Fruehling;3;0,62;1,34;2,7;9,21;12,71
1951-03-05 00:00:00;2,132;5;3;1951;1950;Fruehling;3;0,62;1,34;2,7;9,21;12,71
1951-03-06 00:00:00;2,273;6;3;1951;1950;Fruehling;3;0,62;1,34;2,7;9,21;12,71
1951-03-07 00:00:00;2,278;7;3;1951;1950;Fruehling;3;0,62;1,34;2,7;9,21;12,71
1951-03-08 00:00:00;2,29;8;3;1951;1950;Fruehling;3;0,62;1,34;2,7;9,21;12,71
1951-03-09 00:00:00;2,257;9;3;1951;1950;Fruehling;3;0,62;1,34;2,7;9,21;12,71
1951-03-10 00:00:00;2,118;10;3;1951;1950;Fruehling;3;0,62;1,34;2,7;9,21;12,71
