,Jahr,RSK_Fruehling,RSK_Sommer,RSK_Herbst,RSK_Winter,RSK_Fruehling_RCP8.5_Minimum,RSK_Fruehling_RCP8.5_Median,RSK_Fruehling_RCP8.5_Maximum,RSK_Fruehling_RCP4.5_Minimum,RSK_Fruehling_RCP4.5_Median,RSK_Fruehling_RCP4.5_Maximum,RSK_Fruehling_RCP2.6_Minimum,RSK_Fruehling_RCP2.6_Median,RSK_Fruehling_RCP2.6_Maximum,RSK_Sommer_RCP8.5_Minimum,RSK_Sommer_RCP8.5_Median,RSK_Sommer_RCP8.5_Maximum,RSK_Sommer_RCP4.5_Minimum,RSK_Sommer_RCP4.5_Median,RSK_Sommer_RCP4.5_Maximum,RSK_Sommer_RCP2.6_Minimum,RSK_Sommer_RCP2.6_Median,RSK_Sommer_RCP2.6_Maximum,RSK_Herbst_RCP8.5_Minimum,RSK_Herbst_RCP8.5_Median,RSK_Herbst_RCP8.5_Maximum,RSK_Herbst_RCP4.5_Minimum,RSK_Herbst_RCP4.5_Median,RSK_Herbst_RCP4.5_Maximum,RSK_Herbst_RCP2.6_Minimum,RSK_Herbst_RCP2.6_Median,RSK_Herbst_RCP2.6_Maximum,RSK_Winter_RCP8.5_Minimum,RSK_Winter_RCP8.5_Median,RSK_Winter_RCP8.5_Maximum,RSK_Winter_RCP4.5_Minimum,RSK_Winter_RCP4.5_Median,RSK_Winter_RCP4.5_Maximum,RSK_Winter_RCP2.6_Minimum,RSK_Winter_RCP2.6_Median,RSK_Winter_RCP2.6_Maximum
24,1993.0,,,,,9.381818181818183,9.909090909090908,10.484848484848484,9.624242424242425,9.903030303030302,10.242424242424242,9.612121212121211,9.975757575757576,10.606060606060606,6.175757575757576,7.278787878787879,7.848484848484849,6.866666666666667,7.254545454545455,7.993939393939394,7.387878787878788,7.242424242424242,7.872727272727273,9.381818181818183,10.157575757575758,10.848484848484848,9.878787878787879,10.27878787878788,10.666666666666666,9.624242424242425,10.242424242424242,10.73939393939394,11.103030303030303,11.878787878787879,12.67878787878788,11.515151515151516,11.854545454545455,12.44848484848485,11.636363636363637,11.848484848484848,12.606060606060606
25,1994.0,,,,,9.304545454545455,9.897727272727273,10.545454545454545,9.577272727272728,9.89090909090909,10.272727272727273,9.563636363636364,9.972727272727273,10.681818181818182,6.072727272727272,7.3136363636363635,7.954545454545455,6.85,7.286363636363636,8.118181818181817,7.4363636363636365,7.2727272727272725,7.9818181818181815,9.304545454545455,10.177272727272728,10.954545454545455,9.863636363636363,10.313636363636364,10.75,9.577272727272728,10.272727272727273,10.831818181818182,10.99090909090909,11.863636363636363,12.763636363636364,11.454545454545455,11.836363636363636,12.504545454545454,11.590909090909092,11.829545454545455,12.681818181818182
26,1995.0,,,,,9.227272727272727,9.886363636363637,10.606060606060606,9.530303030303031,9.878787878787879,10.303030303030303,9.515151515151516,9.96969696969697,10.757575757575758,5.96969696969697,7.348484848484849,8.06060606060606,6.833333333333333,7.318181818181818,8.242424242424242,7.484848484848484,7.303030303030303,8.09090909090909,9.227272727272727,10.196969696969697,11.06060606060606,9.848484848484848,10.348484848484848,10.833333333333334,9.530303030303031,10.303030303030303,10.924242424242424,10.878787878787879,11.848484848484848,12.848484848484848,11.393939393939394,11.818181818181818,12.56060606060606,11.545454545454545,11.81060606060606,12.757575757575758
27,1996.0,,,,,9.15,9.875,10.666666666666666,9.483333333333334,9.866666666666667,10.333333333333334,9.466666666666667,9.966666666666667,10.833333333333334,5.866666666666667,7.383333333333334,8.166666666666666,6.816666666666666,7.35,8.366666666666667,7.533333333333333,7.333333333333333,8.2,9.15,10.216666666666667,11.166666666666666,9.833333333333334,10.383333333333333,10.916666666666666,9.483333333333334,10.333333333333334,11.016666666666667,10.766666666666666,11.833333333333334,12.933333333333334,11.333333333333334,11.8,12.616666666666667,11.5,11.791666666666666,12.833333333333334
28,1997.0,,,,,9.072727272727272,9.863636363636363,10.727272727272727,9.436363636363636,9.854545454545454,10.363636363636363,9.418181818181818,9.963636363636363,10.90909090909091,5.763636363636364,7.418181818181818,8.272727272727273,6.8,7.381818181818182,8.49090909090909,7.581818181818182,7.363636363636363,8.309090909090909,9.072727272727272,10.236363636363636,11.272727272727273,9.818181818181818,10.418181818181818,11.0,9.436363636363636,10.363636363636363,11.10909090909091,10.654545454545454,11.818181818181818,13.01818181818182,11.272727272727273,11.781818181818181,12.672727272727272,11.454545454545455,11.772727272727273,12.90909090909091
29,1998.0,,,,,8.995454545454546,9.852272727272727,10.787878787878787,9.389393939393939,9.842424242424242,10.393939393939394,9.36969696969697,9.960606060606061,10.984848484848484,5.66060606060606,7.453030303030303,8.378787878787879,6.783333333333333,7.413636363636364,8.615151515151515,7.63030303030303,7.393939393939394,8.418181818181818,8.995454545454546,10.256060606060606,11.378787878787879,9.803030303030303,10.453030303030303,11.083333333333334,9.389393939393939,10.393939393939394,11.201515151515151,10.542424242424243,11.803030303030303,13.103030303030303,11.212121212121213,11.763636363636364,12.728787878787879,11.409090909090908,11.753787878787879,12.984848484848484
30,1999.0,,,,,8.918181818181818,9.840909090909092,10.848484848484848,9.342424242424242,9.83030303030303,10.424242424242424,9.32121212121212,9.957575757575757,11.06060606060606,5.557575757575758,7.487878787878788,8.484848484848484,6.766666666666667,7.445454545454545,8.739393939393938,7.678787878787879,7.424242424242424,8.527272727272727,8.918181818181818,10.275757575757575,11.484848484848484,9.787878787878787,10.487878787878788,11.166666666666666,9.342424242424242,10.424242424242424,11.293939393939395,10.43030303030303,11.787878787878787,13.187878787878788,11.151515151515152,11.745454545454546,12.784848484848485,11.363636363636363,11.734848484848484,13.06060606060606
31,2000.0,,,,,8.84090909090909,9.829545454545455,10.90909090909091,9.295454545454545,9.818181818181818,10.454545454545455,9.272727272727273,9.954545454545455,11.136363636363637,5.454545454545455,7.5227272727272725,8.590909090909092,6.75,7.4772727272727275,8.863636363636363,7.727272727272727,7.454545454545455,8.636363636363637,8.84090909090909,10.295454545454545,11.590909090909092,9.772727272727273,10.522727272727273,11.25,9.295454545454545,10.454545454545455,11.386363636363637,10.318181818181818,11.772727272727273,13.272727272727273,11.09090909090909,11.727272727272727,12.84090909090909,11.318181818181818,11.715909090909092,13.136363636363637
32,2001.0,,,,,8.763636363636364,9.818181818181818,10.969696969696969,9.248484848484848,9.806060606060607,10.484848484848484,9.224242424242425,9.951515151515151,11.212121212121213,5.351515151515152,7.557575757575758,8.696969696969697,6.733333333333333,7.509090909090909,8.987878787878788,7.775757575757575,7.484848484848484,8.745454545454546,8.763636363636364,10.315151515151515,11.696969696969697,9.757575757575758,10.557575757575759,11.333333333333334,9.248484848484848,10.484848484848484,11.478787878787879,10.206060606060607,11.757575757575758,13.357575757575757,11.030303030303031,11.709090909090909,12.896969696969697,11.272727272727273,11.696969696969697,13.212121212121213
33,2002.0,,,,,8.686363636363637,9.806818181818182,11.030303030303031,9.201515151515151,9.793939393939393,10.515151515151516,9.175757575757576,9.94848484848485,11.287878787878787,5.248484848484848,7.592424242424243,8.803030303030303,6.716666666666667,7.540909090909091,9.112121212121211,7.824242424242424,7.515151515151516,8.854545454545455,8.686363636363637,10.334848484848486,11.803030303030303,9.742424242424242,10.592424242424242,11.416666666666666,9.201515151515151,10.515151515151516,11.571212121212122,10.093939393939394,11.742424242424242,13.442424242424243,10.969696969696969,11.690909090909091,12.953030303030303,11.227272727272727,11.678030303030303,13.287878787878787
