Hydro_Jahr;Jahreszeit;Unterschreitungsdauer;Summe Ablussdefizite
1987;Fruehling;9;13802,4
1987;Herbst;30;66052,8
1987;Sommer;38;288446,4
1987;Winter;22;85665,6
1988;Fruehling;12;35942,4
1988;Herbst;43;146988
1988;Sommer;43;250754,4
1989;Fruehling;4;3283,2
1989;Herbst;55;265161,6
1989;Sommer;29;108172,8
1989;Winter;15;25660,8
1990;Fruehling;10;13176
1990;Herbst;34;117806,4
1990;Sommer;49;246823,2
1991;Fruehling;13;23608,8
1991;Herbst;29;57564
1991;Sommer;45;258012
1991;Winter;1;194,4
1992;Fruehling;2;1555,2
1992;Herbst;42;264124,8
1992;Sommer;41;249134,4
1993;Fruehling;20;55987,2
1993;Herbst;7;33652,8
1993;Sommer;69;756216
1993;Winter;1;993,6
1994;Herbst;27;112968
1994;Sommer;69;525441,6
1994;Winter;5;13435,2
1995;Fruehling;3;5659,2
1995;Herbst;49;146145,6
1995;Sommer;36;180057,6
1995;Winter;18;45100,8
1996;Fruehling;11;19008
1996;Herbst;22;47865,6
1996;Sommer;57;365731,2
1996;Winter;1;172,8
1997;Herbst;48;249523,2
1997;Sommer;43;261597,6
1998;Fruehling;25;195177,6
1998;Herbst;14;48902,4
1998;Sommer;57;498528
1999;Fruehling;1;561,6
1999;Herbst;29;114696
1999;Sommer;63;488203,2
2000;Fruehling;2;1036,8
2000;Herbst;49;624067,2
2000;Sommer;37;408067,2
2001;Fruehling;5;10130,4
2001;Herbst;36;204940,8
2001;Sommer;49;327564
2001;Winter;1;712,8
2002;Fruehling;30;165542,4
2002;Herbst;46;224553,6
2002;Sommer;21;146275,2
2002;Winter;8;20476,8
2003;Herbst;28;112579,2
2003;Sommer;59;471528
2003;Winter;5;9201,6
2004;Fruehling;16;134784
2004;Herbst;14;40003,2
2004;Sommer;51;501940,8
2004;Winter;11;43934,4
2005;Fruehling;1;1814,4
2005;Herbst;45;429667,2
2005;Sommer;30;214444,8
2005;Winter;9;13219,2
2006;Herbst;34;240364,8
2006;Sommer;50;432950,4
2006;Winter;5;6739,2
2007;Fruehling;17;86702,4
2007;Herbst;46;269136
2007;Sommer;36;183081,6
2008;Fruehling;12;54777,6
2008;Herbst;25;93895,2
2008;Sommer;46;239198,4
2008;Winter;21;67543,2
2009;Fruehling;23;87091,2
2009;Herbst;44;152150,4
2009;Sommer;44;156470,4
2009;Winter;1;432
2010;Fruehling;12;36892,8
2010;Herbst;26;132062,4
2010;Sommer;55;391932
2011;Fruehling;20;62121,6
2011;Herbst;46;167659,2
2011;Sommer;26;134222,4
2011;Winter;1;151,2
2012;Fruehling;7;17582,4
2012;Herbst;21;60091,2
2012;Sommer;32;137289,6
2012;Winter;1;475,2
2013;Fruehling;24;84067,2
2013;Herbst;15;95450,4
2013;Winter;11;16653,6
2014;Fruehling;37;325296
2014;Herbst;29;201398,4
2014;Sommer;35;286848
2015;Fruehling;13;26308,8
2015;Herbst;31;75816
2015;Sommer;62;506995,2
2016;Fruehling;18;48643,2
2016;Herbst;37;156816
2016;Sommer;27;123724,8
2016;Winter;32;74995,2
2017;Fruehling;13;80481,6
2017;Herbst;16;60393,6
2017;Sommer;59;479908,8
2018;Herbst;49;171547,2
2018;Sommer;62;282960
2019;Fruehling;5;12981,6
2019;Herbst;5;12463,2
2019;Sommer;91;972756
2020;Herbst;27;177811,2
2020;Sommer;65;542851,2
