,Jahr,MO_RR_Jahr,RSK,MO_RR_Sommer,MO_RR_Winter,MO_RR_Jahr_RCP8.5_Minimum,MO_RR_Jahr_RCP8.5_Median,MO_RR_Jahr_RCP8.5_Maximum,MO_RR_Jahr_RCP4.5_Minimum,MO_RR_Jahr_RCP4.5_Median,MO_RR_Jahr_RCP4.5_Maximum,MO_RR_Jahr_RCP2.6_Minimum,MO_RR_Jahr_RCP2.6_Median,MO_RR_Jahr_RCP2.6_Maximum,MO_RR_Sommer_RCP8.5_Minimum,MO_RR_Sommer_RCP8.5_Median,MO_RR_Sommer_RCP8.5_Maximum,MO_RR_Sommer_RCP4.5_Minimum,MO_RR_Sommer_RCP4.5_Median,MO_RR_Sommer_RCP4.5_Maximum,MO_RR_Sommer_RCP2.6_Minimum,MO_RR_Sommer_RCP2.6_Median,MO_RR_Sommer_RCP2.6_Maximum,MO_RR_Winter_RCP8.5_Minimum,MO_RR_Winter_RCP8.5_Median,MO_RR_Winter_RCP8.5_Maximum,MO_RR_Winter_RCP4.5_Minimum,MO_RR_Winter_RCP4.5_Median,MO_RR_Winter_RCP4.5_Maximum,MO_RR_Winter_RCP2.6_Minimum,MO_RR_Winter_RCP2.6_Median,MO_RR_Winter_RCP2.6_Maximum,RSK_RCP8.5_Minimum,RSK_RCP8.5_Median,RSK_RCP8.5_Maximum,RSK_RCP4.5_Minimum,RSK_RCP4.5_Median,RSK_RCP4.5_Maximum,RSK_RCP2.6_Minimum,RSK_RCP2.6_Median,RSK_RCP2.6_Maximum
23,1995.0,,,,,763.68,778.4563636363637,794.2881818181818,770.3645454545455,777.4009090909091,784.6718181818181,762.7418181818182,775.0554545454545,784.32,201.00363636363636,207.46424242424243,216.4460606060606,200.49939393939394,208.40969696969697,209.98545454545453,201.38181818181818,207.11757575757576,213.60969696969698,193.46363636363637,197.6,206.10909090909092,193.3159090909091,197.15681818181818,199.9340909090909,193.10909090909092,195.82727272727274,199.875,228.34848484848484,231.16666666666666,233.66666666666666,230.1969696969697,231.3181818181818,232.36363636363637,229.84848484848484,231.45454545454547,233.06060606060606
24,1996.0,,,,,762.648,778.902,796.317,770.001,777.741,785.739,761.616,775.1610000000001,785.352,200.304,207.41066666666666,217.29066666666668,199.74933333333334,208.45066666666668,210.184,200.72,207.02933333333334,214.17066666666668,193.31,197.86,207.22,193.1475,197.3725,200.4275,192.92000000000002,195.91,200.3625,228.08333333333334,231.18333333333334,233.93333333333334,230.11666666666667,231.35,232.5,229.73333333333335,231.5,233.26666666666665
25,1997.0,,,,,761.616,779.3476363636364,798.3458181818182,769.6374545454545,778.0810909090909,786.8061818181818,760.4901818181818,775.2665454545455,786.384,199.60436363636364,207.3570909090909,218.13527272727273,198.99927272727274,208.49163636363636,210.38254545454546,200.05818181818182,206.94109090909092,214.73163636363637,193.15636363636364,198.12,208.3309090909091,192.9790909090909,197.58818181818182,200.92090909090908,192.73090909090908,195.99272727272728,200.85,227.8181818181818,231.2,234.2,230.03636363636363,231.38181818181818,232.63636363636363,229.61818181818182,231.54545454545453,233.47272727272727
26,1998.0,,,,,760.5840000000001,779.7932727272728,800.3746363636363,769.2739090909091,778.4211818181818,787.8733636363636,759.3643636363637,775.372090909091,787.4159999999999,198.90472727272729,207.30351515151514,218.9798787878788,198.2492121212121,208.53260606060607,210.5810909090909,199.39636363636365,206.8528484848485,215.29260606060606,193.00272727272727,198.38,209.44181818181818,192.81068181818182,197.80386363636364,201.41431818181817,192.54181818181817,196.07545454545453,201.3375,227.5530303030303,231.21666666666667,234.46666666666667,229.95606060606062,231.41363636363636,232.77272727272728,229.5030303030303,231.5909090909091,233.6787878787879
27,1999.0,,,,,759.552,780.2389090909091,802.4034545454546,768.9103636363636,778.7612727272727,788.9405454545455,758.2385454545455,775.4776363636364,788.448,198.2050909090909,207.2499393939394,219.82448484848484,197.4991515151515,208.57357575757575,210.77963636363637,198.73454545454544,206.76460606060607,215.85357575757575,192.8490909090909,198.64,210.55272727272728,192.6422727272727,198.01954545454547,201.90772727272727,192.35272727272726,196.15818181818182,201.825,227.28787878787878,231.23333333333332,234.73333333333332,229.87575757575758,231.44545454545454,232.9090909090909,229.38787878787878,231.63636363636363,233.88484848484848
28,2000.0,,,,,758.52,780.6845454545455,804.4322727272728,768.5468181818181,779.1013636363637,790.0077272727273,757.1127272727273,775.5831818181819,789.48,197.50545454545454,207.19636363636363,220.66909090909093,196.7490909090909,208.61454545454546,210.9781818181818,198.07272727272726,206.67636363636365,216.41454545454545,192.69545454545454,198.9,211.66363636363636,192.47386363636363,198.2352272727273,202.40113636363637,192.16363636363636,196.2409090909091,202.3125,227.02272727272728,231.25,235.0,229.79545454545453,231.47727272727272,233.04545454545453,229.27272727272728,231.6818181818182,234.0909090909091
29,2001.0,,,,,757.488,781.1301818181819,806.4610909090909,768.1832727272728,779.4414545454546,791.074909090909,755.9869090909091,775.6887272727273,790.512,196.80581818181818,207.14278787878789,221.51369696969698,195.9990303030303,208.65551515151515,211.17672727272728,197.4109090909091,206.58812121212122,216.97551515151514,192.54181818181817,199.16,212.77454545454546,192.30545454545455,198.4509090909091,202.89454545454547,191.97454545454545,196.32363636363635,202.8,226.75757575757575,231.26666666666665,235.26666666666665,229.71515151515152,231.5090909090909,233.1818181818182,229.15757575757576,231.72727272727272,234.29696969696968
30,2002.0,,,,,756.456,781.5758181818181,808.4899090909091,767.8197272727273,779.7815454545455,792.1420909090909,754.8610909090909,775.7942727272728,791.544,196.10618181818182,207.0892121212121,222.35830303030303,195.24896969696968,208.69648484848486,211.37527272727272,196.7490909090909,206.49987878787877,217.53648484848486,192.38818181818183,199.42,213.88545454545454,192.13704545454544,198.6665909090909,203.38795454545453,191.78545454545454,196.40636363636364,203.2875,226.49242424242425,231.28333333333333,235.53333333333333,229.63484848484848,231.54090909090908,233.3181818181818,229.04242424242423,231.77272727272728,234.5030303030303
31,2003.0,,,,,755.424,782.0214545454545,810.5187272727272,767.4561818181818,780.1216363636364,793.2092727272727,753.7352727272728,775.8998181818182,792.576,195.40654545454547,207.03563636363637,223.2029090909091,194.49890909090908,208.73745454545454,211.57381818181818,196.08727272727273,206.41163636363635,218.09745454545455,192.23454545454547,199.68,214.99636363636364,191.96863636363636,198.88227272727272,203.88136363636363,191.59636363636363,196.48909090909092,203.775,226.22727272727272,231.3,235.8,229.55454545454546,231.57272727272726,233.45454545454547,228.92727272727274,231.8181818181818,234.70909090909092
32,2004.0,,,,,754.392,782.4670909090909,812.5475454545455,767.0926363636363,780.4617272727273,794.2764545454545,752.6094545454546,776.0053636363637,793.608,194.7069090909091,206.9820606060606,224.04751515151517,193.74884848484848,208.77842424242425,211.77236363636362,195.42545454545456,206.32339393939392,218.65842424242425,192.0809090909091,199.94,216.10727272727271,191.80022727272728,199.09795454545454,204.37477272727273,191.40727272727273,196.57181818181817,204.2625,225.96212121212122,231.31666666666666,236.06666666666666,229.47424242424242,231.60454545454544,233.5909090909091,228.8121212121212,231.86363636363637,234.9151515151515
