Hydro_Jahr;Jahreszeit;Unterschreitungsdauer;Summe Ablussdefizite
1993;Herbst;12;300153,6
1993;Sommer;61;2584137,6
1994;Fruehling;8;167616
1994;Herbst;22;412905,6
1994;Sommer;58;2095718,4
1994;Winter;2;14342,4
1995;Herbst;30;408412,8
1995;Sommer;54;1439337,6
1995;Winter;3;26611,2
1996;Fruehling;26;369489,6
1996;Herbst;8;67737,6
1996;Sommer;57;1765173,6
1997;Fruehling;8;45100,8
1997;Herbst;14;277430,4
1997;Sommer;34;939600
1997;Winter;37;446990,4
1998;Fruehling;21;359769,6
1998;Herbst;21;547776
1998;Sommer;50;2618956,8
1999;Fruehling;7;150811,2
1999;Herbst;49;681739,2
1999;Sommer;39;1106049,6
2000;Herbst;34;425649,6
2000;Sommer;55;1546581,6
2000;Winter;6;42552
2001;Herbst;46;1800532,8
2001;Sommer;50;1237809,6
2002;Fruehling;13;257947,2
2002;Herbst;45;1473854,4
2002;Sommer;33;548510,4
2003;Herbst;37;708717,6
2003;Sommer;45;1554487,2
2003;Winter;10;92923,2
2004;Herbst;40;929577,6
2004;Sommer;52;1790985,6
2005;Herbst;48;1077321,6
2005;Sommer;39;820994,4
2005;Winter;7;21189,6
2006;Fruehling;8;164937,6
2006;Herbst;33;416901,6
2006;Sommer;51;2271780
2006;Winter;2;6004,8
2007;Fruehling;28;915235,2
2007;Herbst;44;772761,6
2007;Sommer;19;471420
2008;Fruehling;4;37843,2
2008;Herbst;33;611668,8
2008;Sommer;29;388929,6
2008;Winter;24;544233,6
2009;Fruehling;11;118173,6
2009;Herbst;42;533649,6
2009;Sommer;41;689839,2
2010;Fruehling;30;433684,8
2010;Herbst;1;367,2
2010;Sommer;60;2719180,8
2011;Fruehling;34;765374,4
2011;Herbst;40;516326,4
2011;Sommer;23;438415,2
2012;Fruehling;5;35856
2012;Herbst;46;1042416
2012;Sommer;41;1405555,2
2013;Fruehling;5;30067,2
2013;Herbst;15;204336
2013;Sommer;63;1830729,6
2013;Winter;6;11923,2
2014;Fruehling;35;778183,2
2014;Herbst;27;284752,8
2014;Sommer;24;851644,8
2014;Winter;5;6069,6
2015;Fruehling;17;308145,6
2015;Herbst;44;1167436,8
2015;Sommer;30;346464
2016;Herbst;65;840391,2
2016;Sommer;15;160466,4
2016;Winter;15;254728,8
2017;Herbst;41;595965,6
2017;Sommer;51;1248328,8
2018;Herbst;44;317606,4
2018;Sommer;58;526176
2019;Fruehling;5;70027,2
2019;Sommer;92;2835043,2
2020;Herbst;19;270864
2020;Sommer;40;534124,8
