,Jahr,MO_TT,MO_TX,MO_TN,MO_RR,MO_TT_RCP8.5_Minimum,MO_TT_RCP8.5_Median,MO_TT_RCP8.5_Maximum,MO_TT_RCP4.5_Minimum,MO_TT_RCP4.5_Median,MO_TT_RCP4.5_Maximum,MO_TT_RCP2.6_Minimum,MO_TT_RCP2.6_Median,MO_TT_RCP2.6_Maximum
42,2009.0,,,,,10.4,10.654545454545454,11.01818181818182,10.254545454545454,10.50909090909091,10.90909090909091,10.10909090909091,10.436363636363636,10.690909090909091
43,2010.0,,,,,10.416666666666666,10.681818181818182,11.06060606060606,10.265151515151516,10.530303030303031,10.946969696969697,10.113636363636363,10.454545454545455,10.71969696969697
44,2011.0,,,,,10.433333333333334,10.709090909090909,11.103030303030303,10.275757575757575,10.55151515151515,10.984848484848484,10.118181818181819,10.472727272727273,10.748484848484848
45,2012.0,,,,,10.45,10.736363636363636,11.145454545454546,10.286363636363635,10.572727272727272,11.022727272727273,10.122727272727273,10.49090909090909,10.777272727272727
46,2013.0,,,,,10.466666666666667,10.763636363636364,11.187878787878788,10.296969696969697,10.593939393939394,11.06060606060606,10.127272727272727,10.509090909090908,10.806060606060607
47,2014.0,,,,,10.483333333333333,10.790909090909091,11.23030303030303,10.307575757575757,10.615151515151515,11.098484848484848,10.131818181818183,10.527272727272727,10.834848484848486
48,2015.0,,,,,10.5,10.818181818181818,11.272727272727273,10.318181818181818,10.636363636363637,11.136363636363637,10.136363636363637,10.545454545454545,10.863636363636363
49,2016.0,,,,,10.516666666666666,10.845454545454546,11.315151515151516,10.328787878787878,10.657575757575758,11.174242424242424,10.14090909090909,10.563636363636363,10.892424242424243
50,2017.0,,,,,10.533333333333333,10.872727272727273,11.357575757575757,10.33939393939394,10.67878787878788,11.212121212121213,10.145454545454546,10.581818181818182,10.921212121212122
51,2018.0,,,,,10.55,10.9,11.4,10.35,10.7,11.25,10.15,10.6,10.95
52,2019.0,,,,,10.566666666666666,10.927272727272728,11.442424242424243,10.36060606060606,10.72121212121212,11.287878787878787,10.154545454545454,10.618181818181817,10.978787878787879
